0.681974 -0.497716 -0.0173964 0.999849
0.779924 -0.51786 -0.027425 0.999624
0.838546 -1.01441 -0.0378464 0.999284
0.776271 -1.31978 -0.0252242 0.999682
0.832945 -1.7898 -0.0358739 0.999356
0.819057 -2.28961 -0.0326863 0.999466
0.896074 -2.76756 -0.0560649 0.998427
0.853125 -3.23629 -0.0410331 0.999158
0.926146 -3.71383 -0.0713421 0.997452
0.944888 -4.20687 -0.0839607 0.996469
0.994845 -4.68627 -0.13824 0.990399
1.09493 -5.15875 -0.605838 0.795588
1.39717 -5.41241 -0.987099 0.160111
1.41241 -5.31358 -0.987099 0.160111
1.44758 -5.1167 -0.987099 0.160111
1.46766 -4.7172 -0.987099 0.160111
1.79779 -3.9885 -0.996386 0.084946
1.79544 -3.1885 -0.996386 0.084946
1.85575 -2.39078 -0.996386 0.084946
1.85333 -1.59078 -0.996386 0.084946
1.9167 -0.908478 -0.992447 0.122673
1.87114 -1.29121 -0.992447 0.122673
1.88156 -1.26673 -0.992447 0.122673
1.87706 -1.26636 -0.992447 0.122673
1.87805 -1.2677 -0.992447 0.122673
1.87804 -1.26762 -0.992447 0.122673
1.87804 -1.26762 -0.992447 0.122673
1.87804 -1.26762 -0.992447 0.122673
